Total Enterprise Value_to_Market Capitalization,Total Enterprise Value_to_Total Revenue,Total Enterprise Value_to_Gross Profit,Total Enterprise Value_to_EBITDA,Total Enterprise Value_to_Net Income,Total Enterprise Value_to_Total Debt,Market Capitalization_to_Total Revenue,Market Capitalization_to_Gross Profit,Market Capitalization_to_EBITDA,Market Capitalization_to_Net Income,Market Capitalization_to_Total Debt,Total Revenue_to_Gross Profit,Total Revenue_to_EBITDA,Total Revenue_to_Net Income,Total Revenue_to_Total Debt,Gross Profit_to_EBITDA,Gross Profit_to_Net Income,Gross Profit_to_Total Debt,EBITDA_to_Net Income,EBITDA_to_Total Debt,Net Income_to_Total Debt
7.331900900637178,3.8979654088376576,22.433725443362988,15.207966321243523,459.8501835985312,1.6860506132560236,0.5316445846259195,3.059742043351048,2.07421875,62.71909424724602,0.2299609113796802,5.755239744431838,3.9015139248704664,117.9718482252142,0.4325463251760334,0.6779064119170984,20.498164014687884,0.07515696033245522,30.2374541003672,0.11086627742598518,0.003666521561570187
1.2775675014728605,20.18462416578855,26.69198761370234,28.89655967147167,51.48672863702543,5.346530623320941,15.799262381454161,20.89281981807625,22.61842105263158,40.30059357150857,4.1849300464806145,1.3223921037352429,1.4316124706671136,2.5507895621010195,0.26488135619502473,1.082593027153872,1.928920745137567,0.20030470194644842,1.7817598088625082,0.18502308524288932,0.1038428885434394
1.0430592899338607,6.10288798300511,12.527283441367118,16.163929440389296,21.697081036946315,12.51695713612812,5.850950221048401,12.010135533294049,15.496654501216545,20.80138803837518,12.000235515779558,2.0526812021213905,2.6485705596107056,3.555215350071443,2.05098916627414,1.2902980535279804,1.7319861196162483,0.9991756947715497,1.3423147581139008,0.7743758831841734,0.5768959020254357
1.0974431585749278,8.07427335937692,12.446022458293095,17.753761378676966,24.96816593222914,7.319991090321862,7.357349942261862,11.340926735973037,16.17738580805489,22.751215620726335,6.670041207261388,1.5414417996932341,2.1988060830339538,3.092311198905941,0.9065820247243568,1.426460657464682,2.0061160917793646,0.5881389909789508,1.4063592159246314,0.41230649292794297,0.29317295912685154
1.309942111585847,12.600673148840688,19.38007592315656,20.35165498912781,32.98179326546593,4.096907943533188,9.619259536275244,14.794604854480617,15.536301038898287,25.178054032889587,3.1275488491421766,1.5380190958242266,1.615124426189901,2.6174628034455756,0.32513405396203937,1.0501328823387293,1.7018402505873138,0.21139793052296244,1.6205951448707907,0.2013058862152402,0.12421725861167517
1.9403598346705568,10.122011541632316,24.377854142802597,29.637730944202026,147.99629114510896,2.3504274133576795,5.2165641448411435,12.563573883161512,15.274347785720918,76.27260083449235,1.211335841610402,2.40840015273005,2.928047535047814,14.621233194251277,0.2322095172180213,1.2157645529662986,6.070931849791378,0.09641650161614525,4.9935095039406585,0.07930524161187479,0.015881664298283717
1.06074999396723,10.15857181373493,11.935873648006519,14.150276302376737,15.47084702017832,11.961315192743765,9.576782344105073,11.252296691858625,13.339878748859917,14.584819333646177,11.276281179138323,1.1749558763633074,1.3929395353827996,1.5229352416705773,1.1774603174603175,1.1855249745158,1.2961637728765838,1.0021315192743763,1.0933247301736275,0.8453061224489796,0.7731519274376417
1.0676240400696637,15.43838270216223,23.2141514752866,31.016321406151913,131.1279193205945,10.756988591831403,14.46050493688289,21.743751174591242,29.051726302573762,122.82218683651804,10.075633545240791,1.5036647246758128,2.009039548022599,8.493630573248408,0.6967691369851085,1.3360954174513497,5.648619957537155,0.4633806496560133,4.227707006369426,0.3468170338761648,0.08203431159104764
1.017339007044104,11.899315883402735,17.48492132867133,19.46108318469272,22.086216415163783,19.352817866645168,11.696510013880626,17.18691724941725,19.12939841089671,21.70979020979021,19.022978311698783,1.4694055944055946,1.6354791632884709,1.8560912771439089,1.6263807143433042,1.1130209177882275,1.263157894736842,1.106828992985568,1.1348914243651087,0.9944368297992422,0.876239619446908
1.0348480980342099,4.001685077700805,4.001685077700805,4.127655465430668,4.155672216919433,24.20747528830313,3.8669299245970277,3.8669299245970277,3.988658309631658,4.015731608159225,23.392298187808894,1.0,1.0314793356508305,1.038480574115318,6.049320428336079,1.0314793356508305,1.038480574115318,6.049320428336079,1.006787570261958,5.864703459637561,5.825164744645798
1.7996542419982873,10.386125227283323,23.154765616879743,31.376338028169016,34.69428437938016,2.359273066169618,5.771178143503193,12.86623012160898,17.434647887323944,19.278305559881638,1.3109590782004577,2.2293940338842115,3.020985915492958,3.3404454134869956,0.22715623146657632,1.3550704225352113,1.498364740694596,0.10189146827077862,1.1057467684161346,0.07519274760654071,0.06800177920867577
1.7495903676565348,5.114911596113997,9.342558002359418,12.077587850289127,25.20421694735446,2.1460751546903936,2.9234909443203527,5.339854502556036,6.903094617779754,14.405781726561463,1.2266157806783795,1.8265336217066457,2.3612505560144883,4.927595809574327,0.41957228670791746,1.2927495710745378,2.6977854395968706,0.22970958854613616,2.086858506829333,0.17769070954338106,0.08514746398085002
1.3367162752835833,10.023420912951167,15.830766006496908,17.33681432178104,24.57270657124268,4.022606241346256,7.4985403397027595,11.843026302001467,12.969703924718843,18.382888744307092,3.009319416338268,1.5793775542282302,1.7296304796878588,2.45152895250488,0.40132069442965174,1.0951342666972688,1.5522121014964216,0.254100543188838,1.4173715029277814,0.2320268399190542,0.16370220470763658
