Total Enterprise Value,Market Capitalization,Total Revenue,Gross Profit,EBITDA,Net Income,Total Debt
-,-,  2.19 ,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,  13.7 ,-,-,-,-
-,-,-,-,-,-,-
  (7.57)  ,  0.222 ,  39.9 ,  13.8 ,  (20.4)  ,  (18.4)  ,  1.32 
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,  0.66 ,-,-,-,-
-,-,  268.2 ,-,-,-,-
-,-,-,-,-,-,-
  9.38 ,  1.06 ,  212.1 ,  (39.2)  ,  (131.2)  ,  (143.3)  ,  48.1 
-,-,-,-,-,-,-
-,-,  234.8 ,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,  6.0 ,-,-,-,-
  202.7 ,  0.887 ,  29.9 ,  (48.5)  ,  (134.5)  ,  (197.4)  ,  231.2 
-,-,  15.8 ,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,  2.79 ,-,-,-,-
-,-,-,-,-,-,-
-,-,  2.27 ,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
  229.2 ,  0.002 ,  730.0 ,  175.4 ,  (52.5)  ,  (72.6)  ,  236.1 
  305.7 ,  188.4 ,  60.7 ,  (173.2)  ,  (357.1)  ,  (671.6)  ,  169.5 
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,  473.1 ,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,  0 ,  0 ,-,  (3.29)  ,  0.195 
-,-,  19.5 ,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,  25.2 ,-,-,-,-
-,-,-,-,-,-,-
-,-,  7.99 ,-,-,-,-
-,-,  706.2 ,  180.2 ,  (28.5)  ,  (118.1)  ,  246.0 
-,-,-,-,-,-,-
-,-,  50.0 ,-,-,-,-
-,-,  80.9 ,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,  5.0 ,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,  50.9 ,-,-,-,-
-,-,-,-,-,-,-
-,-,  7.23 ,-,-,-,-
-,-,"  1,681.9 ",-,-,-,-
-,-,  538.3 ,-,-,-,-
-,-,-,-,-,-,-
-,-,  4.26 ,-,-,-,-
-,-,  28.7 ,-,-,-,-
-,-,  4.56 ,-,-,-,-
-,-,  8.0 ,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,  8.97 ,-,-,-,-
"  2,559.1 ",  4.25 ,"  2,160.9 ",  312.1 ,  51.9 ,  (257.2)  ,"  2,584.6 "
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
